fold_id	outer_fold	inner_fold	train_precision	train_recall	train_f1_score	train_accuracy	train_auc	train_loss	val_precision	val_recall	val_f1_score	val_accuracy	val_auc	val_loss	test_precision	test_recall	test_f1_score	test_accuracy	test_auc	test_loss
0_0	0	0	0.863742143159568	0.8376354166666667	0.8485571562809323	0.8930041152263375	0.9023612678481733	1.705769711289155	0.825977011494253	0.6826436781609195	0.6565590220762635	0.8	0.8126379147057008	3.1884771259431854	0.8589277389277388	0.7292165898617512	0.7624727668845316	0.819672131147541	0.8362789017078655	2.8748564367562452
0_1	0	1	0.8655763351870436	0.8199942442442442	0.8384075381132254	0.891170431211499	0.8928531571011771	1.7350030078837946	0.7764935064935065	0.8062068965517242	0.7859954233409611	0.8518518518518519	0.884259910860896	2.361834939012178	0.8579807692307693	0.7627649769585254	0.7866791160908807	0.819672131147541	0.8530530952562525	2.8748564367562452
0_2	0	2	0.847903349220525	0.8343476601601602	0.8401242315573831	0.8891170431211499	0.9009051920188946	1.767738911443691	0.8208602150537635	0.7328735632183908	0.76	0.8333333333333334	0.8395524278676987	2.657064291487537	0.8046474358974359	0.7627649769585254	0.7764550264550264	0.819672131147541	0.853150561143192	2.8748564367562452
0_3	0	3	0.8644736810127899	0.8256890015015015	0.8409324248206692	0.8829568788501027	0.8945679847153085	1.8659466221233796	0.7458222811671088	0.6562068965517242	0.6705145888594164	0.8333333333333334	0.8055184142622567	2.6570642914875378	0.8470716783216783	0.7227649769585254	0.751058201058201	0.8032786885245902	0.8312012434044005	3.136207011078695
0_4	0	4	0.8797880182912454	0.8452850663163163	0.8581166921802055	0.8993839835728953	0.9069489603443387	1.60405939364421	0.8128735632183908	0.8128735632183908	0.8128735632183908	0.8703703703703703	0.88763406052076	2.066605586536818	0.7913141025641026	0.7227649769585254	0.7398537192654839	0.8032786885245902	0.8312987092913401	3.136207011078695
0_5	0	5	0.8631328671328671	0.8037733318166893	0.8258946503934631	0.8767967145790554	0.881860850849919	1.9641543328030682	0.863978494623656	0.7833333333333333	0.8064971751412429	0.8888888888888888	0.8737472527472526	1.7713762340614578	0.8525152267087751	0.7627649769585254	0.7816009557945042	0.819672131147541	0.8545345767377338	2.874856436756245
0_6	0	6	0.8553556975705149	0.8285585593534452	0.8406081432065567	0.8870636550308009	0.8971168919975347	1.8004748150035872	0.6866666666666668	0.65	0.6427411294352823	0.8518518518518519	0.8048910256410255	2.3618349390121782	0.8470716783216783	0.7227649769585254	0.751058201058201	0.8032786885245902	0.8312012434044005	3.136207011078695
0_7	0	7	0.8446722776161859	0.8228752058657562	0.8328134623244638	0.8829568788501027	0.8938246825291849	1.8659466221233794	0.7639784946236559	0.75	0.7412590799031478	0.8518518518518519	0.8533782051282051	2.3618349390121782	0.8579807692307693	0.7627649769585254	0.7866791160908807	0.819672131147541	0.8530530952562525	2.8748564367562452
0_8	0	8	0.8738771018548487	0.8183981607272326	0.8399118505959475	0.8870636550308009	0.8906994913575236	1.800474815003587	0.7301604278074867	0.6166666666666666	0.6364422627395979	0.7777777777777778	0.7720302197802197	3.5427523489136172	0.7913141025641026	0.7227649769585254	0.7398537192654839	0.8032786885245902	0.8312987092913401	3.136207011078695
0_9	0	9	0.8432965295770174	0.8126749714854217	0.8256078191227502	0.8850102669404517	0.8886723881667022	1.8332107185634834	0.7598231653404067	0.7857142857142858	0.7646783625730994	0.8333333333333334	0.8680091575091575	2.6570642914875378	0.8579807692307693	0.7627649769585254	0.7866791160908807	0.819672131147541	0.8530530952562525	2.8748564367562452
1_0	1	0	0.8506652971979728	0.8222210648148149	0.8332480266185268	0.8806584362139918	0.8924281890006922	1.9025892796060617	0.5818031430934657	0.5590804597701149	0.5655555555555555	0.7272727272727273	0.7375649939946369	4.347923310210054	0.7243181818181819	0.606405529953917	0.6165909090909091	0.8032786885245902	0.7759070878408558	3.1362070110786946
1_1	1	1	0.8645809915865803	0.8148741866866868	0.8363524540985464	0.8809034907597536	0.8880865034051743	1.8986825256832758	0.7551648351648352	0.759080459770115	0.7495171495171495	0.8148148148148148	0.855893971381656	2.9522936439628977	0.7356862745098038	0.6128571428571429	0.6258371513543928	0.819672131147541	0.7812605538669368	2.874856436756245
1_2	1	2	0.8316624977750298	0.7824693130630631	0.8024618402192774	0.864476386036961	0.8694757323801502	2.160569754162445	0.8323863636363636	0.7662068965517241	0.7938883797757639	0.8333333333333334	0.8542599108608961	2.6570642914875378	0.7356862745098038	0.6014285714285714	0.6223872679045093	0.819672131147541	0.7755462681526512	2.874856436756245
1_3	1	3	0.8562280880708435	0.824896803053053	0.8376268156377094	0.8788501026694046	0.8932278926702937	1.931418429243172	0.7784848484848486	0.7897701149425288	0.7804102186195038	0.8703703703703703	0.8764224724372509	2.0666055865368183	0.7556862745098039	0.6628571428571429	0.690079575596817	0.8360655737704918	0.8080462681526512	2.613505862433795
1_4	1	4	0.8885227525360528	0.8474292104604604	0.8656021296679068	0.8973305954825462	0.9072998189971111	1.6367952972041062	0.8646846846846847	0.6331034482758622	0.6857142857142857	0.7962962962962963	0.7761707717569786	3.2475229964382577	0.6945454545454546	0.6514285714285715	0.6685426403098816	0.8360655737704918	0.8039109298067864	2.613505862433795
1_5	1	5	0.8311277659351515	0.784586917577468	0.8049399484950557	0.864476386036961	0.8710803949104831	2.160569754162445	0.7918744473916888	0.7857142857142858	0.7751228070175439	0.8518518518518519	0.8704734432234431	2.3618349390121782	0.7556862745098039	0.6514285714285715	0.6846094901267314	0.8360655737704918	0.8023319824383653	2.613505862433795
1_6	1	6	0.8477464131012382	0.7814336451912883	0.8072448542783114	0.864476386036961	0.8682310598591494	2.160569754162445	0.8236666666666667	0.7714285714285715	0.7447299590695817	0.8333333333333334	0.8640943223443223	2.6570642914875378	0.7356862745098038	0.6014285714285714	0.6223872679045093	0.819672131147541	0.7755462681526512	2.874856436756245
1_7	1	7	0.8572782756822752	0.8202053081430514	0.8367834726112673	0.8767967145790554	0.8903534091360346	1.9641543328030682	0.7979487179487179	0.7666666666666667	0.7660558292282431	0.8888888888888888	0.8671767399267398	1.7713762340614578	0.7612121212121212	0.6414285714285715	0.6544589462261876	0.8360655737704918	0.7988796014859844	2.613505862433795
1_8	1	8	0.8553734266764174	0.8199273600607675	0.8359263065664001	0.8829568788501027	0.8914260097804109	1.8659466221233796	0.6794330400782014	0.65	0.6565799908762325	0.7962962962962963	0.7961520146520147	3.247522996438257	0.7612121212121212	0.6414285714285715	0.6544589462261876	0.8360655737704918	0.7988796014859844	2.613505862433795
1_9	1	9	0.8444119363782285	0.8091793333872266	0.8250198741680608	0.8726899383983573	0.88473224249772	2.0296261399228603	0.8627777777777779	0.8166666666666667	0.8345021645021646	0.8703703703703703	0.8864844322344322	2.066605586536818	0.8145454545454545	0.7314285714285715	0.7518482236154649	0.8688524590163934	0.8475171676235507	2.0908047137888963
2_0	2	0	0.8606894580788055	0.8118015828328329	0.8338601620568162	0.8788501026694046	0.886588933592817	1.9314184292431718	0.7741935483870968	0.7162068965517241	0.7157142857142857	0.8	0.8276965628025312	3.1884771259431846	0.8716666666666667	0.820215053763441	0.8260152359417481	0.9166666666666666	0.9005598764645049	1.3285322053484174
2_1	2	1	0.8461798414843779	0.7891153522219698	0.8140331159811106	0.8685831622176592	0.8733242179220053	2.0950979470426527	0.6998231653404067	0.7059770114942528	0.6881992337164752	0.8	0.8245517313951675	3.1884771259431854	0.8185483870967742	0.7635483870967742	0.7802150537634409	0.8833333333333333	0.8666368217580918	1.8599450398040658
2_2	2	2	0.8563672854908168	0.814694208458237	0.8329514944230448	0.8811475409836066	0.8889432853125051	1.8947917830470586	0.6805882352941177	0.65	0.6452380952380952	0.8148148148148148	0.7938163265306123	2.952293643962897	0.7818817204301075	0.7535483870967742	0.7635916771400642	0.8833333333333333	0.8616704917917618	1.8599450398040653
2_3	2	3	0.8791258307986933	0.8418531188060021	0.8562748877163913	0.889344262295082	0.9033008532599066	1.7641164958858337	0.7893103448275862	0.7393103448275863	0.7426436781609196	0.8148148148148148	0.8424714989444053	2.952293643962897	0.8518817204301076	0.7968817204301075	0.8183102918586791	0.9	0.8851228727441427	1.5942386225762415
2_4	2	4	0.8723233623071334	0.8188931043908791	0.8404066514112319	0.8811475409836066	0.8901929914830573	1.8947917830470586	0.8986363636363637	0.8131034482758622	0.8393346457138332	0.8703703703703703	0.8837898193760264	2.066605586536818	0.9016666666666666	0.8768817204301076	0.8820892768433751	0.9333333333333333	0.9304230004580635	1.0628257881205931
2_5	2	5	0.8471190487950462	0.8073785783091537	0.8250232335285931	0.875	0.8838278296673779	1.9927982484179776	0.6878299120234604	0.6428571428571429	0.6562392532547286	0.7962962962962963	0.7910320512820512	3.247522996438257	0.82	0.8268817204301075	0.8192619891885012	0.9166666666666666	0.9039593473639757	1.3285322053484174
2_6	2	6	0.8702922077922077	0.8366949908276962	0.8518975223422942	0.8811475409836066	0.8999166005984127	1.8947917830470586	0.7847619047619048	0.7761904761904762	0.774052614052614	0.8888888888888888	0.8752500000000001	1.7713762340614578	0.9199999999999999	0.9102150537634408	0.9097381796646917	0.95	0.9492635801682086	0.797119370892769
2_7	2	7	0.8558544555796127	0.8209552978858733	0.836209489372407	0.8790983606557377	0.8914334946986173	1.927460604837365	0.7793103448275862	0.719047619047619	0.7273695602642971	0.8333333333333334	0.8355686813186814	2.657064291487538	0.7683333333333333	0.7535483870967742	0.7576736924277908	0.8833333333333333	0.8632669158019789	1.8599450398040653
2_8	2	8	0.8425712163587615	0.810134855079766	0.823407146984699	0.8709016393442623	0.8850191373395375	2.05813589199859	0.8083333333333332	0.7333333333333333	0.7628571428571428	0.8518518518518519	0.8431153846153846	2.3618349390121782	0.7818817204301075	0.7535483870967742	0.7635916771400642	0.8833333333333333	0.8616704917917618	1.8599450398040658
2_9	2	9	0.8820856495747851	0.8357401913777093	0.8545264679955048	0.8913934426229508	0.900557960366893	1.7314476740955276	0.4696078431372549	0.46904761904761905	0.447741935483871	0.7037037037037037	0.6865283882783884	4.723669758815057	0.9068817204301075	0.870215053763441	0.8847470734678744	0.9333333333333333	0.9258153043061397	1.0628257881205931
3_0	3	0	0.8523195196288041	0.818459303053053	0.8324652573305972	0.8829568788501027	0.8912125471842073	1.8659466221233794	0.8979166666666668	0.8766666666666667	0.8774655217278168	0.9090909090909091	0.9228309785452643	1.4493078495428835	0.7273118279569892	0.7177880184331797	0.7212581881102459	0.8	0.8306616102645507	3.1884771259431854
3_1	3	1	0.8527446127446128	0.8359774730087232	0.8434124918672741	0.891170431211499	0.9016359208470781	1.7350030078837946	0.6275268817204301	0.6228735632183908	0.6188888888888889	0.7818181818181819	0.7794794348064313	3.4783386720099014	0.7258928571428571	0.7113364055299539	0.7174603174603174	0.7833333333333333	0.8227131651322781	3.45418354317101
3_2	3	2	0.8315740087150125	0.7750890169664357	0.7978834576593401	0.8709016393442623	0.8673053866417917	2.05813589199859	0.7276967285587974	0.602183908045977	0.612110647972717	0.7407407407407407	0.7617450152474785	4.133211053864337	0.6720238095238095	0.6648847926267282	0.6645299145299146	0.75	0.7941872309667444	3.9855963776266576
3_3	3	3	0.8573359286492291	0.8325006040427867	0.8403264498564729	0.8831967213114754	0.8979726223414239	1.8621229612567527	0.8283333333333334	0.6964367816091954	0.7169398907103826	0.8518518518518519	0.823755805770584	2.3618349390121782	0.7532134532134532	0.701121351766513	0.7213573463573464	0.8	0.819779551294036	3.1884771259431854
3_4	3	4	0.8438187507620475	0.8038908929799989	0.8200767679138459	0.8770491803278688	0.8826374323780826	1.9601294266276712	0.6408963585434173	0.6097701149425288	0.6173382173382174	0.7962962962962963	0.7693612479474549	3.2475229964382577	0.7258928571428571	0.7113364055299539	0.7174603174603174	0.7833333333333333	0.8227131651322781	3.45418354317101
3_5	3	5	0.8693845970717771	0.8287965677271432	0.8467222048050036	0.8872950819672131	0.8965007206713945	1.7967853176761397	0.7039784946236559	0.6166666666666666	0.6428608115048793	0.8148148148148148	0.7820805860805861	2.9522936439628977	0.7099078341013825	0.6856221198156682	0.6836440978376462	0.7833333333333333	0.811096715060056	3.45418354317101
3_6	3	6	0.8850690343766985	0.8434958451034633	0.857469113070352	0.8954918032786885	0.9048862067875536	1.6661100305149148	0.8642857142857142	0.8095238095238095	0.818158508158508	0.9074074074074074	0.8938333333333335	1.4761468815860976	0.7058928571428571	0.6613364055299539	0.6799999999999999	0.7666666666666667	0.7958949833140962	3.7198899603988336
3_7	3	7	0.8597990042774647	0.8246897875904633	0.8405370252287098	0.8872950819672131	0.8949960222197145	1.7967853176761401	0.7395402298850574	0.7261904761904762	0.7261403508771929	0.8518518518518519	0.8429386446886447	2.3618349390121782	0.7464285714285714	0.732073732718894	0.7380952380952381	0.8166666666666667	0.8387040176322953	2.922770708715361
3_8	3	8	0.8642087628134141	0.8193919450593625	0.8365416218357395	0.8872950819672131	0.8920468782813282	1.7967853176761401	0.667741935483871	0.6690476190476191	0.6350013451708366	0.7407407407407407	0.796662087912088	4.133211053864337	0.7379807692307693	0.6946697388632872	0.7089947089947091	0.7833333333333333	0.8147018929905713	3.45418354317101
3_9	3	9	0.8388779901937797	0.8059018601410572	0.8180616348194052	0.8790983606557377	0.8842280935131978	1.927460604837365	0.898974358974359	0.8952380952380953	0.8936026936026936	0.8888888888888888	0.9321657509157509	1.7713762340614578	0.7341935483870967	0.7256221198156682	0.7285996786552961	0.8	0.8333042981372042	3.1884771259431854
4_0	4	0	0.865871817712973	0.8025463275775776	0.8307509916550208	0.8788501026694046	0.8812424977196418	1.931418429243172	0.6184331797235022	0.5457509157509157	0.5710299869621903	0.7272727272727273	0.7317641723356008	4.347923310210053	0.6307278742762613	0.6513461538461538	0.6397768897768898	0.8	0.801169607579182	3.188477125943185
4_1	4	1	0.8676671826962055	0.8226519449832995	0.843303400708262	0.891170431211499	0.8943646946994963	1.7350030078837946	0.8636363636363636	0.7762068965517241	0.8078299120234604	0.8363636363636363	0.8587009438035901	2.6087540338097504	0.6446794871794872	0.6513461538461538	0.6458916083916083	0.8	0.7994500308596054	3.188477125943185
4_2	4	2	0.8536698451565128	0.82180037249086	0.8360312175833269	0.8811475409836066	0.8922387716362536	1.8947917830470586	0.8427705627705627	0.7697701149425288	0.7548546630639482	0.8703703703703703	0.8663816561107203	2.066605586536818	0.7826262626262628	0.7322115384615385	0.726050616050616	0.8333333333333334	0.843731161962545	2.6570642914875378
4_3	4	3	0.8658445613387474	0.8215514771818915	0.8412584240284996	0.8913934426229508	0.8936876004973933	1.7314476740955274	0.8957575757575758	0.8099999999999999	0.8296364567332308	0.8888888888888888	0.8849591836734694	1.7713762340614578	0.6078341013824884	0.6359615384615385	0.6178095238095238	0.7833333333333333	0.7916591180686925	3.4541835431710086
4_4	4	4	0.8403605047889178	0.8030075458478901	0.820206777476215	0.875	0.8821274508978572	1.9927982484179776	0.6958333333333333	0.7126436781609196	0.7038251366120218	0.8148148148148148	0.823859254046446	2.9522936439628977	0.6708699633699634	0.6913461538461538	0.6742465867465868	0.8166666666666667	0.8212357451453197	2.922770708715362
4_5	4	5	0.8583068783068782	0.8280632135096916	0.8418063830788263	0.8831967213114754	0.8955499188591057	1.8621229612567525	0.7258852258852259	0.6190476190476191	0.6215238095238095	0.8148148148148148	0.7850338827838828	2.952293643962897	0.6208333333333333	0.6359615384615385	0.6269545454545454	0.7833333333333333	0.7899058713154459	3.4541835431710086
4_6	4	6	0.8946599102805468	0.8409650401807269	0.8657614408660186	0.8934426229508197	0.9027020803337459	1.6987788523052212	0.7533333333333333	0.7333333333333333	0.7231034482758621	0.8703703703703703	0.8485100732600731	2.066605586536818	0.7780128205128205	0.7913461538461538	0.776497668997669	0.85	0.8749057788153534	2.3913578742597137
4_7	4	7	0.8614389708100406	0.8227110867765746	0.8402795878585353	0.8831967213114754	0.8928692388828322	1.8621229612567527	0.7892307692307692	0.75	0.757992337164751	0.8703703703703703	0.8564624542124541	2.066605586536818	0.6115584415584415	0.6205769230769231	0.6103729603729604	0.7666666666666667	0.7786758050853797	3.7198899603988327
4_8	4	8	0.8554931193371742	0.8002745675829482	0.8247865299828838	0.8770491803278688	0.8801877502570369	1.9601294266276712	0.7058333333333333	0.6523809523809524	0.673982683982684	0.7592592592592593	0.7878040293040293	3.8379817013889777	0.7223310023310023	0.7013461538461538	0.7072927072927074	0.8166666666666667	0.8244500308596052	2.922770708715362
